scenario,channel,current_spend,recommended_spend,delta,delta_pct,share_current,share_recommended,marginal_roas_current_median,marginal_roas_current_lo,marginal_roas_current_hi,marginal_roas_recommended_median,marginal_roas_recommended_lo,marginal_roas_recommended_hi,contribution_current_median,contribution_recommended_median,contribution_recommended_lo,contribution_recommended_hi,per_draw_share_median,held_by_rule
same_total,TV,14843.691217948714,22265.53682692307,7421.845608974358,50.0,0.2125037400439251,0.3187556100658876,7.261616890585776,4.383353396978169,10.718289262228115,5.918413439898098,3.377112274771885,8.882891755570837,157758.28549827953,206826.4623821055,108993.70604564283,299916.29408046877,0.31875561006588765,False
same_total,Out-of-home,43217.94102564102,34723.266503518935,-8494.674522122084,-19.655435498609776,0.6187122845725472,0.4971016905564151,0.7504364203740882,0.09751921519355614,1.6801753418673746,0.8961362140354427,0.11312569081231907,1.9713641804705182,66173.49793420799,59871.0383696022,4549.692140868549,168927.71780090136,0.428068426858821,False
same_total,Print,3728.632264957266,3728.632264957266,0.0,0.0,0.053379465384848335,0.05337946538484832,7.8081408153028224,1.2203625106185663,16.00716388418533,7.8081408153028224,1.2203625106185663,16.00716388418533,36866.46976454951,36866.46976454951,4278.041057237606,135765.58054468746,0.0800691980772725,True
same_total,Facebook,2145.657826295471,3218.4867394432063,1072.8289131477354,50.0,0.030717447988339145,0.046076171982508705,20.534787234227046,4.756492126141164,45.5175018567005,16.343424841667066,3.4297009273323384,39.900453343382274,56498.648944934466,79137.1251466616,14319.081446950851,155996.24493274553,0.04607617198250872,False
same_total,Search,5915.512820512821,5915.512820512821,0.0,0.0,0.08468706201034006,0.08468706201034003,7.67662685606348,0.893676224929526,25.54799830057433,7.67662685606348,0.893676224929526,25.54799830057433,60732.94097590487,60732.94097590487,7489.5031250273905,195916.9071874796,0.1270305930155101,True
plus_25_percent,TV,14843.691217948714,25976.459631410245,11132.768413461532,74.99999999999997,0.2125037400439251,0.3145099350404944,7.261616890585776,4.383353396978169,10.718289262228115,5.3652467570488085,2.913797780904478,8.244036136484821,157758.28549827953,227103.7970681407,128009.52545725866,321990.3629925933,0.29750523606149515,False
plus_25_percent,Out-of-home,43217.94102564102,43217.94102564102,0.0,0.0,0.6187122845725472,0.5232611378697085,0.7504364203740882,0.09751921519355614,1.6801753418673746,0.7504364203740882,0.09751921519355614,1.6801753418673746,66173.49793420799,66173.49793420799,6262.524306126431,177935.3656358435,0.46619719840156637,True
plus_25_percent,Print,3728.632264957266,3728.632264957266,0.0,0.0,0.053379465384848335,0.04514440797866097,7.8081408153028224,1.2203625106185663,16.00716388418533,7.8081408153028224,1.2203625106185663,16.00716388418533,36866.46976454951,36866.46976454951,4278.041057237606,135765.58054468746,0.07473125153878767,True
plus_25_percent,Facebook,2145.657826295471,3754.9011960170733,1609.2433697216024,74.99999999999997,0.030717447988339145,0.04546245901095842,20.534787234227046,4.756492126141164,45.5175018567005,14.512875394044586,2.822276448700005,37.22283835949824,56498.648944934466,89705.41834375524,17997.170989332168,172623.7292003091,0.043004427183674795,False
plus_25_percent,Search,5915.512820512821,5915.512820512821,0.0,0.0,0.08468706201034006,0.07162206010017749,7.67662685606348,0.893676224929526,25.54799830057433,7.67662685606348,0.893676224929526,25.54799830057433,60732.94097590487,60732.94097590487,7489.5031250273905,195916.9071874796,0.11856188681447608,True
plus_extra_budget,TV,14843.691217948714,23082.858904015087,8239.167686066374,55.50619158733057,0.2125037400439251,0.3132105027688546,7.261616890585776,4.383353396978169,10.718289262228115,5.79032949172797,3.278985967252672,8.870802992290162,157758.28549827953,212092.009898972,112622.4232818111,305523.3757375573,0.3132105027688546,False
plus_extra_budget,Out-of-home,43217.94102564102,37633.95424185637,-5583.986783784647,-12.92052941733548,0.6187122845725472,0.5106538049852041,0.7504364203740882,0.09751921519355614,1.6801753418673746,0.8439188849108257,0.10793973983172561,1.88662192886272,66173.49793420799,62577.16092690774,5270.566605323942,173065.24672306143,0.43801781077389385,False
plus_extra_budget,Print,3728.632264957266,3728.632264957266,0.0,0.0,0.053379465384848335,0.05059368041037154,7.8081408153028224,1.2203625106185663,16.00716388418533,7.8081408153028224,1.2203625106185663,16.00716388418533,36866.46976454951,36866.46976454951,4278.041057237606,135765.58054468746,0.0786763055900341,True
plus_extra_budget,Facebook,2145.657826295471,3336.6307701675873,1190.9729438721165,55.50619158733057,0.030717447988339145,0.04527462587818526,20.534787234227046,4.756492126141164,45.5175018567005,15.97270365941649,3.2729727568071025,39.18358501561525,56498.648944934466,80989.13235705122,14831.642218374649,160198.03488846475,0.04527462587818526,False
plus_extra_budget,Search,5915.512820512821,5915.512820512821,0.0,0.0,0.08468706201034006,0.08026738595738439,7.67662685606348,0.893676224929526,25.54799830057433,7.67662685606348,0.893676224929526,25.54799830057433,60732.94097590487,60732.94097590487,7489.5031250273905,195916.9071874796,0.12482075498903225,True
